school.name,2015.student.size,location.lat,location.lon,school.state
The University of Texas at Tyler,6059,32.314724,-95.249096,TX
Wharton County Junior College,6232,29.324294,-96.085199,TX
Texas Christian University,8851,32.709568,-97.361537,TX
Germanna Community College,5267,38.375556,-77.780132,VA
Tidewater Community College,22626,36.850635,-76.289669,VA
Marshall University,8780,38.42261,-82.43065,WV
University of Washington-Seattle Campus,30022,47.656213,-122.313115,WA
Madison Area Technical College,11232,43.12078,-89.328311,WI
Western Washington University,14336,48.737236,-122.484873,WA
Spokane Falls Community College,5174,47.676741,-117.463538,WA
Spokane Community College,5690,47.672571,-117.360957,WA
Clark College,8234,45.634307,-122.652976,WA
Inter American University of Puerto Rico-Metro,6350,18.368988,-66.077711,PR
Pontifical Catholic University of Puerto Rico-Ponce,5427,18.000652,-66.61763,PR
Instituto de Banca y Comercio Inc,13719,18.391708,-66.113889,PR
University of Wyoming,9842,41.311943,-105.57204,WY
University of Wisconsin-Platteville,7785,42.733936,-90.492709,WI
University of Wisconsin-La Crosse,9462,43.815295,-91.230149,WI
University of Wisconsin-Green Bay,5502,44.531102,-87.920499,WI
University of Wisconsin-Eau Claire,9844,44.798431,-91.500432,WI
University of Puerto Rico-Mayaguez,11518,18.212964,-67.143911,PR
Harrisburg Area Community College-Harrisburg,17235,40.298256,-76.886341,PA
Indiana University of Pennsylvania-Main Campus,11297,40.615589,-79.159869,PA
Lehigh Carbon Community College,5801,40.663946,-75.611936,PA
Purdue University-Main Campus,30233,40.428206,-86.914435,IN
Chandler-Gilbert Community College,9677,33.293897,-111.795922,AZ
DePaul University,15683,41.923332,-87.654116,IL
Columbia College Chicago,8492,41.873589,-87.624554,IL
College of DuPage,16501,41.841577,-88.071635,IL
Idaho State University,8969,42.864108,-112.429084,ID
City Colleges of Chicago-Harold Washington College,7943,41.886067,-87.626596,IL
Florida State University,32229,30.4421,-84.294801,FL
University of North Florida,13562,30.270917,-81.507853,FL
Keiser University-Ft Lauderdale,15023,26.185869,-80.163959,FL
Pasco-Hernando State College,9254,28.2751,-82.646727,FL
Boise State University,15959,43.604403,-116.205789,ID
Valdosta State University,8692,30.849236,-83.289925,GA
University of West Georgia,10309,33.574421,-85.099007,GA
Georgia College and State University,5933,33.082787,-83.231962,GA
Kapiolani Community College,5643,21.271357,-157.800413,HI
Leeward Community College,5628,21.392802,-157.985099,HI
Hillsborough Community College,23138,27.934513,-82.456919,FL
Seminole State College of Florida,15747,28.74475,-81.305606,FL
The University of Tampa,7061,27.947225,-82.465582,FL
Joliet Junior College,11955,41.500535,-88.180985,IL
College of Lake County,10711,42.355881,-88.012392,IL
Northwestern University,8576,42.058377,-87.673653,IL
Savannah College of Art and Design,9421,32.072966,-81.093905,GA
Gwinnett Technical College,6435,33.962763,-84.066224,GA
Rasmussen College-Florida,7352,29.14081,-82.19842,FL
Full Sail University,17804,28.596546,-81.301286,FL
Emory University,6770,33.798836,-84.325782,GA
Chattahoochee Technical College,8955,33.929093,-84.552492,GA
Vincennes University,7940,38.686861,-87.523106,IN
Kirkwood Community College,9444,41.911268,-91.651172,IA
Iowa State University,29520,42.026368,-93.648353,IA
Ashford University,36405,32.8273,-117.141961,CA
University of Southern Indiana,7950,37.966188,-87.67666,IN
Ball State University,15689,40.198942,-85.408863,IN
Illinois State University,18343,40.509724,-88.99234,IL
Parkland College,6647,40.131963,-88.290359,IL
Indiana University-South Bend,5165,41.665746,-86.222958,IN
Kansas State University,19443,39.188616,-96.581077,KS
Johnson County Community College,11610,38.923775,-94.730614,KS
University of Northern Iowa,9934,42.514923,-92.459703,IA
University of New Orleans,6185,30.028539,-90.068506,LA
Louisiana State University and Agricultural & Mechanical College,24904,30.414983,-91.178921,LA
Northwestern State University of Louisiana,6836,31.750675,-93.097715,LA
University of Southern Maine,5359,43.662637,-70.276002,ME
University of Maine,8677,44.895129,-68.67358,ME
Southern Maine Community College,5233,43.647335,-70.228098,ME
Tulane University of Louisiana,7841,29.939696,-90.120409,LA
Southeastern Louisiana University,11024,30.51358,-90.468558,LA
University of Louisiana at Lafayette,15091,30.215283,-92.01941,LA
Howard Community College,9168,39.211569,-76.87843,MD
Lansing Community College,13909,42.739099,-84.552201,MI
Ferris State University,12571,43.687464,-85.483509,MI
University of Michigan-Ann Arbor,28120,42.276061,-83.743121,MI
Towson University,18806,39.393008,-76.612268,MD
University of Maryland-Baltimore County,11144,39.256686,-76.711607,MD
Morgan State University,6294,39.344235,-76.584238,MD
Bridgewater State University,9497,41.987785,-70.966058,MA
Bunker Hill Community College,12024,42.374806,-71.069263,MA
College of Southern Maryland,7697,38.559648,-77.009328,MD
Davenport University,5774,42.849713,-85.529655,MI
Middlesex Community College,8202,42.525056,-71.273966,MA
Delta College,7672,43.559491,-83.985943,MI
Northeastern University,13620,42.339992,-71.088782,MA
Quinsigamond Community College,7223,42.314675,-71.793568,MA
Harvard University,7333,42.374429,-71.118177,MA
Michigan State University,38853,42.73212,-84.476111,MI
Northern Michigan University,7278,46.558037,-87.403857,MI
Michigan Technological University,5623,47.1183,-88.546403,MI
Tufts University,5236,42.406994,-71.121689,MA
Washtenaw Community College,10135,42.263311,-83.664928,MI
University of Mississippi,18472,34.362144,-89.539377,MS
